Identifier,Physiological experiment id,Date id,Genus,Species,Collection method,Control,Start date,End date,Pre-gravid,Nulliparous,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P,>threshold,Total,Total in paper if different,Threshold,Table number,Figure number,Digitise,Note,ID -- concat
21,2,1,Aedes,aegypti,Sticky traps,1,NA,NA,,6,694,98,38,16,,,9,,,,,,,861,861,,2,,,,21 2
22,1,1,Aedes,sollicitans,Human landing,1,18/06/1975,23/08/1975,,450,664,109,17,,,,,,,,,,,1240,,,1,,0,Aggregated across times,22 1
23,1,1,Anopheles,darlingi,Human landing,1,25/03/1979,14/06/1979,,1039,375,146,27,5,,,,,,,,,2,1594,,5,1,,0,Aggregated across dates,23 1
23,2,1,Anopheles,darlingi,Human landing,1,01/04/1978,31/10/1979,,124,35,17,7,2,,,,,,,,,0,185,,5,2,,0,Aggregated across dates,23 2
24,1,1,Downsiomyia,nivea,Human landing,1,01/02/2000,30/04/2000,,1055,226,58,5,,,,,,,,,,,1344,,,1,,0,,24 1
24,1,2,Downsiomyia,nivea,Human landing,1,01/05/2000,30/11/2000,,1485,372,100,19,,,,,,,,,,,1976,,,1,,0,,24 1
24,1,3,Downsiomyia,nivea,Human landing,1,01/12/1999,31/01/2000,,227,61,14,3,,,,,,,,,,,305,,,1,,0,,24 1
25,1,1,Anopheles,stephensi,Indoor resting,1,01/11/1979,31/12/1979,,123,38,5,,,,,,,,,,,,166,,,3,,0,,25 1
26,1,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,107,76,28,13,2,,,,,,,,,,226,226,,2,,0,Indoor,26 1
26,1,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,165,123,44,6,1,,,,,,,,,,339,339,,2,,0,Indoor,26 1
26,2,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,117,63,21,6,0,,,,,,,,,,207,207,,2,,0,Indoor,26 2
26,2,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,98,66,26,5,0,,,,,,,,,,195,195,,2,,0,Indoor,26 2
26,3,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,47,36,12,1,0,,,,,,,,,,96,96,,2,,0,Indoor,26 3
26,3,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,32,38,8,1,0,,,,,,,,,,79,79,,2,,0,Indoor,26 3
26,4,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,110,45,15,2,1,,,,,,,,,,173,173,,2,,0,Indoor,26 4
26,4,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,82,60,25,4,1,,,,,,,,,,172,172,,2,,0,Indoor,26 4
26,5,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,423,213,89,28,6,,,,,,,,,,759,759,,2,,0,Outdoor,26 5
26,5,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,624,363,132,41,2,,,,,,,,,,1162,1162,,2,,0,Outdoor,26 5
26,6,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,181,86,39,13,1,,,,,,,,,,320,320,,2,,0,Outdoor,26 6
26,6,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,249,153,53,10,3,,,,,,,,,,468,468,,2,,0,Outdoor,26 6
26,7,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,60,40,14,3,1,,,,,,,,,,118,118,,2,,0,Outdoor,26 7
26,7,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,60,39,20,3,1,,,,,,,,,,123,122,,2,,0,Outdoor,26 7
26,8,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,203,78,27,9,1,,,,,,,,,,318,318,,2,,0,Outdoor,26 8
26,8,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,152,96,44,9,0,,,,,,,,,,301,301,,2,,0,Outdoor,26 8
26,9,1,Aedes,samoanus,Human landing,1,01/12/1977,31/05/1978,,78,48,9,3,0,,,,,,,,,,138,138,,3,,0,Indoor,26 9
26,9,2,Aedes,samoanus,Human landing,1,01/06/1978,30/11/1978,,210,146,43,6,0,,,,,,,,,,405,405,,3,,0,Indoor,26 9
26,10,1,Aedes,samoanus,Human landing,1,01/12/1977,31/05/1978,,471,211,64,11,2,,,,,,,,,,759,758,,3,,0,Indoor,26 10
26,10,2,Aedes,samoanus,Human landing,1,01/06/1978,30/11/1978,,805,382,101,18,1,,,,,,,,,,1307,1307,,3,,0,Indoor,26 10
26,11,1,Aedes,samoanus,Human landing,1,01/12/1977,31/05/1978,,133,62,24,4,0,,,,,,,,,,223,223,,3,,0,Indoor,26 11
26,11,2,Aedes,samoanus,Human landing,1,01/06/1978,30/11/1978,,189,136,41,8,2,,,,,,,,,,376,376,,3,,0,Indoor,26 11
27,1,1,Anopheles,NA,Light trap,1,01/08/2012,31/08/2012,,132,108,67,39,2,,,,,,,,,,348,,,"2,4",,0,Got nulliparous from Table 2,27 1
27,1,2,Anopheles,NA,Light trap,1,01/09/2012,30/09/2012,,84,96,74,31,3,,,,,,,,,,288,,,"2,4",,0,Got nulliparous from Table 2,27 1
27,1,3,Anopheles,NA,Light trap,1,01/10/2012,31/10/2012,,62,102,67,37,2,,,,,,,,,,270,,,"2,4",,0,Got nulliparous from Table 2,27 1
27,1,4,Anopheles,NA,Light trap,1,01/11/2012,30/11/2012,,31,54,59,60,0,,,,,,,,,,204,,,"2,4",,0,Got nulliparous from Table 2,27 1
27,1,5,Anopheles,NA,Light trap,1,01/12/2012,31/12/2012,,17,57,54,68,0,,,,,,,,,,196,,,"2,4",,0,Got nulliparous from Table 2,27 1
28,1,1,Culex,quinquefasciatus,Human landing,1,01/01/1986,31/01/1986,,327,220,99,14,3,,,,,,,,,,663,663,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,2,Culex,quinquefasciatus,Human landing,1,01/02/1986,28/02/1986,,164,229,68,8,0,,,,,,,,,,469,469,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,3,Culex,quinquefasciatus,Human landing,1,01/03/1986,31/03/1986,,292,260,63,10,0,,,,,,,,,,625,625,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,4,Culex,quinquefasciatus,Human landing,1,01/04/1986,30/04/1986,,281,226,67,4,0,,,,,,,,,,578,578,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,5,Culex,quinquefasciatus,Human landing,1,01/05/1986,31/05/1986,,107,114,51,5,0,,,,,,,,,,277,277,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,6,Culex,quinquefasciatus,Human landing,1,01/06/1986,30/06/1986,,182,87,24,5,2,,,,,,,,,,300,300,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,7,Culex,quinquefasciatus,Human landing,1,01/07/1986,31/07/1986,,174,115,25,1,0,,,,,,,,,,315,315,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,8,Culex,quinquefasciatus,Human landing,1,01/08/1986,31/08/1986,,293,156,44,4,2,,,,,,,,,,499,499,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,9,Culex,quinquefasciatus,Human landing,1,01/09/1986,30/09/1986,,158,167,82,8,0,,,,,,,,,,415,415,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,10,Culex,quinquefasciatus,Human landing,1,01/10/1986,31/10/1986,,232,239,62,19,2,,,,,,,,,,554,54,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,11,Culex,quinquefasciatus,Human landing,1,01/11/1986,30/11/1986,,168,174,64,10,2,,,,,,,,,,418,418,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
28,1,12,Culex,quinquefasciatus,Human landing,1,01/12/1986,31/12/1986,,171,239,83,9,1,,,,,,,,,,503,503,,1,,0,"Assumed 1986. From other Ramiahah 1992 paper `Seasonality of adult Culex quinquefasciatus and transmission of bancroftian filariasis in Pondicherry, South India�",28 1
29,1,1,Culex,tritaeniorhynchus,Net,1,01/06/1968,30/06/1968,,43,26,1,,,,,,,,,,,,70,70,,1,,0,,29 1
29,1,2,Culex,tritaeniorhynchus,Net,1,01/07/1968,31/07/1968,,121,19,0,,,,,,,,,,,,140,140,,1,,0,,29 1
29,1,3,Culex,tritaeniorhynchus,Net,1,01/08/1968,31/08/1968,,175,27,1,,,,,,,,,,,,203,203,,1,,0,,29 1
29,1,4,Culex,tritaeniorhynchus,Net,1,01/06/1969,30/06/1969,,59,29,0,,,,,,,,,,,,88,88,,1,,0,,29 1
29,1,5,Culex,tritaeniorhynchus,Net,1,01/07/1969,31/07/1969,,262,23,0,,,,,,,,,,,,285,285,,1,,0,,29 1
29,1,6,Culex,tritaeniorhynchus,Net,1,01/08/1969,31/08/1969,,374,53,0,,,,,,,,,,,,427,427,,1,,0,,29 1
29,1,7,Culex,tritaeniorhynchus,Net,1,01/06/1970,30/06/1970,,69,15,0,,,,,,,,,,,,84,84,,1,,0,,29 1
29,1,8,Culex,tritaeniorhynchus,Net,1,01/07/1970,31/07/1970,,468,84,1,,,,,,,,,,,,553,553,,1,,0,,29 1
29,1,9,Culex,tritaeniorhynchus,Net,1,01/08/1970,31/08/1970,,581,113,3,,,,,,,,,,,,697,697,,1,,0,,29 1
29,1,10,Culex,tritaeniorhynchus,Net,1,01/06/1971,30/06/1971,,128,54,3,,,,,,,,,,,,185,185,,1,,0,,29 1
29,1,11,Culex,tritaeniorhynchus,Net,1,01/07/1971,31/07/1971,,459,91,1,,,,,,,,,,,,551,551,,1,,0,,29 1
29,1,12,Culex,tritaeniorhynchus,Net,1,01/08/1971,31/08/1971,,392,87,1,,,,,,,,,,,,480,480,,1,,0,Corrected 18.7 to 81.7,29 1
29,1,13,Culex,tritaeniorhynchus,Net,1,01/06/1972,30/06/1972,,69,50,0,,,,,,,,,,,,119,119,,1,,0,,29 1
29,1,14,Culex,tritaeniorhynchus,Net,1,01/07/1972,31/07/1972,,349,72,2,,,,,,,,,,,,423,423,,1,,0,,29 1
29,1,15,Culex,tritaeniorhynchus,Net,1,01/08/1972,31/08/1972,,303,92,5,,,,,,,,,,,,400,400,,1,,0,,29 1
29,1,16,Culex,tritaeniorhynchus,Net,1,01/07/1973,31/07/1973,,220,57,1,,,,,,,,,,,,278,278,,1,,0,,29 1
29,1,17,Culex,tritaeniorhynchus,Net,1,01/08/1973,31/08/1973,,181,54,2,,,,,,,,,,,,237,237,,1,,0,,29 1
30,1,1,Haemagogus,leucocelaenus,Human landing,1,01/01/1981,30/09/1982,,136,116,23,11,6,3,,,,,,,,,295,295,,2,,0,Combined all dates,30 1
31,1,1,Anopheles,culicifacies,Indoor resting,1,01/07/1996,31/10/1996,,166,45,45,45,31,,,,,,,,,,332,,,2,,0,,31 1
31,1,2,Anopheles,culicifacies,Indoor resting,1,01/11/1995,28/02/1996,,62,28,22,10,4,,,,,,,,,,126,,,2,,0,,31 1
31,1,3,Anopheles,culicifacies,Indoor resting,1,01/03/1996,30/06/1996,,16,4,4,3,3,,,,,,,,,,30,,,2,,0,,31 1
32,1,1,Anopheles,gambiae,Indoor resting,1,01/03/1963,30/09/1963,,58,91,48,26,8,1,,,,,,,,,232,,,6,,0,Combined all times,32 1
33,1,1,Anopheles,sinensis,Human landing,1,18/07/1974,19/07/1974,,80,19,4,,,,,,,,,,,,103,,,2,,0,Combined all times,33 1
34,1,1,Anopheles,gambiae,"PSC, CDC light trap",1,01/07/2008,31/07/2008,,,345,210,0,0,0,,,,,,,,,555,,,2,,0,No nulliparous obs,34 1
34,1,2,Anopheles,gambiae,"PSC, CDC light trap",1,01/08/2008,31/08/2008,,,120,80,4,4,0,,,,,,,,,208,,,2,,0,No nulliparous obs,34 1
34,1,3,Anopheles,gambiae,"PSC, CDC light trap",1,01/09/2008,30/09/2008,,,76,30,0,0,0,,,,,,,,,106,,,2,,0,No nulliparous obs,34 1
34,1,4,Anopheles,gambiae,"PSC, CDC light trap",1,01/10/2008,31/10/2008,,,0,0,0,0,0,,,,,,,,,0,,,2,,0,No nulliparous obs,34 1
34,1,5,Anopheles,gambiae,"PSC, CDC light trap",1,01/11/2008,30/11/2008,,,2100,520,0,0,0,,,,,,,,,2620,,,2,,0,No nulliparous obs,34 1
34,1,6,Anopheles,gambiae,"PSC, CDC light trap",1,01/12/2008,31/12/2008,,,520,140,0,0,0,,,,,,,,,660,,,2,,0,No nulliparous obs,34 1
34,1,7,Anopheles,gambiae,"PSC, CDC light trap",1,01/01/2009,31/01/2009,,,123,27,0,5,0,,,,,,,,,155,,,2,,0,No nulliparous obs,34 1
34,1,8,Anopheles,gambiae,"PSC, CDC light trap",1,01/02/2009,28/02/2009,,,356,80,0,7,0,,,,,,,,,443,,,2,,0,No nulliparous obs,34 1
34,1,9,Anopheles,gambiae,"PSC, CDC light trap",1,01/03/2009,31/03/2009,,,21,30,2,1,1,,,,,,,,,55,,,2,,0,No nulliparous obs,34 1
34,1,10,Anopheles,gambiae,"PSC, CDC light trap",1,01/04/2009,30/04/2009,,,400,271,0,2,0,,,,,,,,,673,,,2,,0,No nulliparous obs,34 1
34,1,11,Anopheles,gambiae,"PSC, CDC light trap",1,01/05/2009,31/05/2009,,,121,50,0,1,0,,,,,,,,,172,,,2,,0,No nulliparous obs,34 1
34,1,12,Anopheles,gambiae,"PSC, CDC light trap",1,01/06/2009,30/06/2009,,,152,5,0,5,6,,,,,,,,,168,,,2,,0,No nulliparous obs,34 1
34,1,13,Anopheles,gambiae,"PSC, CDC light trap",1,01/07/2009,31/07/2009,,,68,13,6,1,2,,,,,,,,,90,,,2,,0,No nulliparous obs,34 1
34,1,14,Anopheles,gambiae,"PSC, CDC light trap",1,01/08/2009,31/08/2009,,,43,21,10,0,1,,,,,,,,,75,,,2,,0,No nulliparous obs,34 1
34,1,15,Anopheles,gambiae,"PSC, CDC light trap",1,01/09/2009,30/09/2009,,,62,50,0,0,1,,,,,,,,,113,,,2,,0,No nulliparous obs,34 1
34,1,16,Anopheles,gambiae,"PSC, CDC light trap",1,01/10/2009,31/10/2009,,,1170,200,0,0,0,,,,,,,,,1370,,,2,,0,No nulliparous obs,34 1
34,1,17,Anopheles,gambiae,"PSC, CDC light trap",1,01/11/2009,30/11/2009,,,450,57,43,0,0,,,,,,,,,550,,,2,,0,No nulliparous obs,34 1
34,1,18,Anopheles,gambiae,"PSC, CDC light trap",1,01/12/2009,31/12/2009,,,230,76,4,0,0,,,,,,,,,310,,,2,,0,No nulliparous obs,34 1
34,1,19,Anopheles,gambiae,"PSC, CDC light trap",1,01/01/2010,31/01/2010,,,940,250,19,0,0,,,,,,,,,1209,,,2,,0,No nulliparous obs,34 1
34,1,20,Anopheles,gambiae,"PSC, CDC light trap",1,01/02/2010,28/02/2010,,,301,348,45,3,0,,,,,,,,,697,,,2,,0,No nulliparous obs,34 1
34,1,21,Anopheles,gambiae,"PSC, CDC light trap",1,01/03/2010,31/03/2010,,,1800,379,64,0,0,,,,,,,,,2243,,,2,,0,No nulliparous obs,34 1
34,1,22,Anopheles,gambiae,"PSC, CDC light trap",1,01/04/2010,30/04/2010,,,1240,300,0,0,0,,,,,,,,,1540,,,2,,0,No nulliparous obs,34 1
35,1,1,Anopheles,culicifacies,NA,0,01/06/1959,31/08/1959,,,107,178,22,10,1,,,,,,,,,318,,,4,,0,Before resistance to DDT emerged,35 1
35,1,2,Anopheles,culicifacies,NA,0,01/01/1961,31/05/1961,,,139,276,49,5,0,,,,,,,,,469,,,4,,0,Tolerance to DDT detected,35 1
35,1,3,Anopheles,culicifacies,NA,0,01/06/1960,30/09/1961,,,214,855,54,0,0,,,,,,,,,1123,,,4,,0,Resistance to DDT,35 1
36,1,1,Anopheles,stephensi,NA,0,NA,NA,,109,113,15,2,2,,,,,,,,,,241,241,,p3,,0,Sprayed with DDT,36 1
36,2,1,Anopheles,stephensi,NA,1,NA,NA,,17,20,6,1,1,,,,,,,,,,45,45,,p3,,0,Unsprayed village,36 2
36,3,1,Anopheles,culicifacies,NA,1,06/01/1959,30/06/1959,,29,53,2,0,0,,,,,,,,,,84,84,,p7,,0,Before DDT spraying,36 3
36,4,1,Anopheles,culicifacies,NA,0,01/07/1959,31/07/1959,,42,71,10,7,0,,,,,,,,,,130,137,,p7,,0,After spraying,36 4
36,5,1,Anopheles,culicifacies,NA,0,01/08/1959,31/08/1959,,35,49,10,3,1,,,,,,,,,,98,97,,p7,,0,After spraying,36 5
36,6,1,Anopheles,minimus,NA,1,NA,NA,,23,50,21,2,3,0,0,1,,,,,,,100,,,p9,,0,Unsprayed village,36 6
36,7,1,Anopheles,culicifacies,NA,1,NA,NA,,5,27,10,1,1,0,0,0,,,,,,,44,,,p9,,0,Unsprayed village,36 7
36,8,1,Anopheles,minimus,NA,1,01/01/1956,30/03/1957,,34,115,149,135,71,30,18,7,,,,,,5,564,569,8,Appendix 1,,0,Combined all dates. Assumed 8-10 are 8+,36 8
36,9,1,Anopheles,vagus,NA,1,01/01/1956,31/01/1956,,2,3,4,1,,,,,,,,,,,10,,,Appendix 1,,0,,36 9
36,9,2,Anopheles,vagus,NA,1,01/02/1956,29/02/1956,,2,5,2,1,1,,,,,,,,,,11,,,Appendix 1,,0,,36 9
36,9,3,Anopheles,vagus,NA,1,01/03/1956,31/03/1956,,7,61,36,8,1,,,,,,,,,,113,,,Appendix 1,,0,,36 9
36,9,4,Anopheles,vagus,NA,1,01/04/1956,30/04/1956,,68,217,294,108,20,,,,,,,,,,707,,,Appendix 1,,0,,36 9
36,9,5,Anopheles,vagus,NA,1,01/05/1956,31/05/1956,,25,247,210,45,5,3,,,,,,,,,535,,,Appendix 1,,0,,36 9
36,9,6,Anopheles,vagus,NA,1,01/06/1956,30/06/1956,,39,258,254,81,24,16,5,,,,,,,,677,,,Appendix 1,,0,,36 9
36,9,7,Anopheles,vagus,NA,1,01/07/1956,31/07/1956,,122,144,393,108,9,5,1,,,,,,,,782,,,Appendix 1,,0,,36 9
36,9,8,Anopheles,vagus,NA,1,01/08/1956,31/08/1956,,41,484,587,324,75,14,3,1,,,,,,,1529,,,Appendix 1,,0,,36 9
36,9,9,Anopheles,vagus,NA,1,01/09/1956,30/09/1956,,33,139,291,199,152,14,2,,,,,,,,830,,,Appendix 1,,0,,36 9
36,9,10,Anopheles,vagus,NA,1,01/10/1956,31/10/1956,,21,48,134,148,87,39,14,3,1,,,,,,495,,,Appendix 1,,0,,36 9
36,9,11,Anopheles,vagus,NA,1,01/11/1956,30/11/1956,,5,16,38,55,31,17,8,1,1,,,,,,172,,,Appendix 1,,0,,36 9
36,9,12,Anopheles,vagus,NA,1,01/12/1956,31/12/1956,,0,0,1,9,6,6,2,,,,,,,,24,,,Appendix 1,,0,,36 9
36,9,13,Anopheles,vagus,NA,1,01/01/1957,31/01/1957,,1,2,1,4,5,2,,,,,,,,,15,,,Appendix 1,,0,,36 9
36,9,14,Anopheles,vagus,NA,1,01/02/1957,28/02/1957,,0,0,1,0,2,4,,,,,,,,,7,,,Appendix 1,,0,,36 9
36,9,15,Anopheles,vagus,NA,1,01/03/1957,31/03/1957,,1,0,1,1,3,2,,,,,,,,,8,,,Appendix 1,,0,,36 9
37,1,1,Anopheles,culicifacies,Mixture,1,09/09/1980,22/09/1980,,108,76,8,3,2,,,,,,,,,,197,,,2,,0,Combined all dates,37 1
38,1,1,Anopheles,maculipennis,Indoor resting,1,25/04/1952,31/05/1952,,68,67,56,35,30,4,1,0,0,0,0,0,0,0,261,261,13,p109,,0,Combined all weeks into months,38 1
38,1,2,Anopheles,maculipennis,Indoor resting,1,01/06/1952,30/05/1952,,430,449,305,93,49,72,51,27,10,6,3,1,0,0,1496,1497,13,p109,,0,Combined all weeks into months,38 1
38,1,3,Anopheles,maculipennis,Indoor resting,1,07/01/1952,31/07/1952,,185,269,314,280,232,145,57,33,9,2,2,0,0,0,1528,1527,13,p109,,0,Combined all weeks into months,38 1
38,1,4,Anopheles,maculipennis,Indoor resting,1,01/08/1952,31/08/1952,,28,143,212,231,241,191,91,55,17,9,1,1,0,2,1222,1219,13,p109,,0,Combined all weeks into months,38 1
38,1,5,Anopheles,maculipennis,Indoor resting,1,01/09/1952,30/09/1952,,122,4,34,80,152,158,104,63,35,8,2,0,1,3,766,766,13,p109,,0,Combined all weeks into months,38 1
38,2,1,Anopheles,maculipennis,Indoor resting,1,01/06/1952,31/08/1952,,1277,737,272,105,36,2,1,0,0,0,0,0,0,0,2430,2432,13,p119,,0,Stalingrad Oblast. Numbers from p118 � ignoring Moscow Oblast 1952 as it seems to be same as data from table on p109.,38 2
38,3,1,Anopheles,maculipennis,Indoor resting,1,01/06/1952,30/09/1952,,597,482,424,312,195,96,47,45,20,13,7,2,1,0,2241,2243,13,p119,,0,Moscow Oblast. Numbers from p118 � ignoring Moscow Oblast 1952 as it seems to be same as data from table on p109.,38 3
38,4,1,Anopheles,maculipennis,Indoor resting,1,01/05/1949,31/10/1949,,1918,2164,1819,905,552,192,92,23,8,3,0,0,0,0,7676,7673,13,p119,,0,Moldavia. Numbers from p118 � ignoring Moscow Oblast 1952 as it seems to be same as data from table on p109.,38 4
38,5,1,Anopheles,maculipennis,Indoor resting,1,01/05/1953,30/09/1953,,915,1224,450,150,57,23,8,3,0,1,0,0,0,0,2831,2833,13,p119,,0,Latvia. Numbers from p118 � ignoring Moscow Oblast 1952 as it seems to be same as data from table on p109.,38 5
38,6,1,Anopheles,maculipennis,Indoor resting,1,01/06/1952,30/09/1952,,841,1552,728,554,283,150,42,8,1,1,0,0,1,4,4165,4162,13,p119,,0,Leningrad Oblast. Numbers from p118 � ignoring Moscow Oblast 1952 as it seems to be same as data from table on p109.,38 6
38,7,1,Anopheles,maculipennis,Indoor resting,1,01/06/1951,01/06/1951,,318,769,708,523,280,156,75,32,20,6,2,0,0,0,2889,2890,13,p119,,0,Vitebsk Oblast. Numbers from p118 � ignoring Moscow Oblast 1952 as it seems to be same as data from table on p109.,38 7
